lat,lng,power
18.340278896968044,-67.25167036056519,7
18.486385884754213,-66.82555317878723,7
18.483892938300514,-66.84500455856323,5
18.394723408860415,-67.11333274841309,10
18.379441580190004,-67.18833804130554,7
18.294995531141467,-66.8786072731018,9
18.337223712105967,-66.99055194854736,9
18.42999573743694,-67.15444564819336,12
18.473890262055974,-66.93861365318298,3
18.316111,-67.139722,1
18.34166389631585,-66.31694197654724,7
18.300832311377107,-66.24500513076782,3
18.388329843926172,-66.24833106994629,9
18.443888911498817,-66.25972509384155,24
18.45889024224661,-66.26778244972229,9
18.43249964516923,-66.48444056510925,7
18.265553975979117,-66.70055150985718,5
18.33333336523077,-66.41666650772095,2
18.336113648232285,-66.46888375282288,2
18.44610764406977,-66.38749480247498,8
18.37500236740955,-66.62499904632568,18
18.363611,-66.571389,1
18.450555200578833,-66.53861045837402,6
18.379166678130375,-65.90139269828796,5
18.44499828136634,-66.11778259277344,6
18.406115176160156,-65.96722483634949,7
18.36277357815912,-66.01750016212463,16
18.366663262065856,-66.10000491142273,19
18.415246370359128,-66.0517680644989,104
18.38000156451143,-66.16333723068237,59
18.380276465240115,-65.83138704299927,4
18.25694468811288,-66.10305190086365,9
18.372497623541292,-65.71666359901428,2
18.325837581017268,-65.65250515937805,6
18.050551175226403,-65.87944149971008,2
18.14972592633049,-65.8275032043457,5
18.183060495971517,-65.86638450622559,4
18.21944601056208,-65.73666214942932,4
18.111663735389087,-66.16583704948425,11
18.079998418159036,-66.35805487632751,2
18.231389401733452,-66.03944063186646,23
18.254448424241602,-65.9730613231659,6
18.18666881062508,-66.30638480186462,6
18.19,-65.968611,1
18.21806003496056,-66.22611165046692,2
18.139999596380093,-66.266108751297,5
18.227496679990892,-65.92111229896545,5
18.175833449250405,-66.16138458251953,6
18.162775078495102,-66.72222375869751,2
18.01917071467635,-66.7919397354126,2
18.03694278103528,-66.85028314590454,3
18.0797230425013,-66.96083307266235,4
18.180833,-66.98,1
18.25139172574758,-66.99333071708679,4
18.13972431501783,-67.12749481201172,3
18.051938478601144,-67.05972075462341,3
18.201111514613146,-67.13972568511963,23
18.08666849653447,-67.14583039283752,10
17.999998949556755,-67.00000405311584,9
17.966111,-66.405,1
17.977467676063114,-66.29794120788574,4
18.010865586581545,-66.6139268875122,21
18.052499517298173,-66.50667071342468,8
